Time,Input,Output
957.086,0,49.75
958.087,0,49.5
959.088,0,49.5
960.089,0,49.5
961.09,0,49.5
962.091,0,49.75
963.092,0,49.75
964.093,0,49.5
965.094,0,49.5
966.095,0,49.5
967.096,0,49.5
968.097,0,49.5
969.098,0,49.75
970.099,0,49.5
971.1,0,49.5
972.101,0,49.5
973.102,0,49.5
974.103,0,49.5
975.104,0,49.75
976.105,0,49.5
977.106,0,49.5
978.107,0,49.5
979.108,0,49.5
980.109,0,49.5
981.11,0,49.5
982.111,0,49.5
983.112,0,49.5
984.113,0,49.5
985.114,0,49.5
986.115,0,49.5
987.116,0,49.5
988.117,0,49.5
989.118,0,49.5
990.119,0,49.5
991.12,0,49.5
992.121,0,49.5
993.122,0,49.5
994.123,0,49.5
995.124,0,49.5
996.125,0,49.5
997.126,0,49.5
998.127,0,49.5
999.128,0,49.5
1000.129,0,49.5
1001.13,0,49.5
1002.131,0,49.5
1003.132,0,49.5
1004.133,0,49.5
1005.134,0,49.5
1006.135,0,49.5
1007.136,0,49.5
1008.137,0,49.5
1009.138,0,49.5
1010.139,0,49.5
1011.14,0,49.5
1012.141,0,49.5
1013.142,0,49.5
1014.143,0,49.5
1015.144,0,49.5
1016.145,0,49.5
1017.146,0,49.5
1018.147,0,49.5
1019.148,0,49.5
1020.149,0,49.5
1021.15,0,49.5
1022.151,0,49.5
1023.152,0,49.5
1024.153,0,49.5
1025.154,0,49.5
1026.155,0,49.5
1027.156,0,49.5
1028.157,0,49.5
1029.158,0,49.5
1030.159,0,49.5
1031.16,0,49.5
1032.161,0,49.5
1033.162,0,49.5
1034.163,0,49.5
1035.164,0,49.5
1036.165,0,49.5
1037.166,0,49.5
1038.167,0,49.5
1039.168,0,49.5
1040.169,0,49.5
1041.17,0,49.5
1042.171,0,49.5
1043.172,0,49.5
1044.173,0,49.5
1045.174,0,49.5
1046.175,0,49.5
1047.176,0,49.5
1048.177,0,49.5
1049.178,0,49.5
1050.179,0,49.25
1051.18,0,49.5
1052.181,0,49.5
1053.182,0,49.5
1054.183,0,49.25
1055.184,0,49.25
1056.185,0,49.5
1057.186,0,49.25
1058.187,0,49.25
1059.188,0,49.5
1060.189,0,49.25
1061.19,0,49.5
1062.191,0,49.25
1063.192,0,49.25
1064.193,0,49.5
1065.194,0,49.25
1066.195,0,49.25
1067.196,0,49.5
1068.197,0,49.25
1069.198,0,49.25
1070.199,0,49.25
1071.2,0,49.25
1072.201,0,49.25
1073.202,0,49.25
1074.203,0,49.25
1075.204,0,49.25
1076.205,0,49.25
1077.206,0,49.25
1078.207,0,49.5
1079.208,0,49.25
1080.209,0,49.25
1081.21,0,49.25
1082.211,0,49.25
1083.212,0,49.25
1084.213,0,49.25
1085.214,0,49.25
1086.215,0,49.25
1087.216,0,49.25
1088.217,0,49.25
1089.218,0,49.25
1090.219,0,49.25
1091.22,0,49.25
1092.221,0,49.25
1093.222,0,49.25
1094.223,0,49.25
1095.224,0,49.25
1096.225,0,49.25
1097.226,0,49.25
1098.227,0,49.25
1099.228,0,49.25
1100.229,0,49.25
1101.23,0,49.25
1102.231,0,49.25
1103.232,0,49.25
1104.233,0,49.25
1105.234,0,49.25
1106.235,0,49.25
1107.236,0,49.25
1108.237,0,49.25
1109.238,0,49.25
1110.239,0,49.25
1111.24,0,49.25
1112.241,0,49.25
1113.242,0,49.25
1114.243,0,49.25
1115.244,0,49.25
1116.245,0,49.25
1117.246,0,49.25
1118.247,0,49.25
1119.248,0,49.25
1120.249,0,49.25
1121.25,0,49.25
1122.251,0,49.25
1123.252,0,49.25
1124.253,0,49.25
1125.254,0,49.25
1126.255,0,49.25
1127.256,0,49.25
1128.257,0,49.25
1129.258,0,49.25
1130.259,0,49.25
1131.26,0,49.25
1132.261,0,49.25
1133.262,0,49.25
1134.263,0,49.25
1135.264,0,49.25
1136.265,0,49.25
1137.266,0,49.25
1138.267,0,49.25
1139.268,0,49.25
1140.269,0,49.25
1141.27,0,49.25
1142.271,0,49.25
1143.272,0,49.25
1144.273,0,49.25
1145.274,0,49.25
1146.275,0,49.25
1147.276,2.22E-16,49
1148.277,0,49.25
1149.278,0,49.25
1150.279,0,49.25
1151.28,2.22E-16,49
1152.281,0,49.25
1153.282,0,49.25
1154.283,0,49.25
1155.284,0,49.25
1156.285,0,49.25
1157.286,0,49.25
1158.287,2.22E-16,49
1159.288,2.22E-16,49
1160.289,0,49.25
1161.29,2.22E-16,49
1162.291,2.22E-16,49
1163.292,2.22E-16,49
1164.293,2.22E-16,49
1165.294,2.22E-16,49
1166.295,2.22E-16,49
1167.296,0,49.25
1168.297,2.22E-16,49
1169.298,2.22E-16,49
1170.299,0,49.25
1171.3,2.22E-16,49
1172.301,2.22E-16,49
1173.302,2.22E-16,49
1174.303,2.22E-16,49
1175.304,2.22E-16,49
1176.305,2.22E-16,49
1177.306,0,49.25
1178.307,2.22E-16,49
1179.308,2.22E-16,49
1180.309,2.22E-16,49
1181.31,2.22E-16,49
1182.311,0,49.25
1183.312,2.22E-16,49
1184.313,2.22E-16,49
1185.314,2.22E-16,49
1186.315,2.22E-16,49
1187.316,2.22E-16,49
1188.317,2.22E-16,49
1189.318,2.22E-16,49
1190.319,2.22E-16,49
1191.32,2.22E-16,49
1192.321,2.22E-16,49
1193.322,2.22E-16,49
1194.323,2.22E-16,49
1195.324,2.22E-16,49
1196.325,2.22E-16,49
1197.326,2.22E-16,49
1198.327,2.22E-16,49
1199.328,2.22E-16,49
1200.329,2.22E-16,49
1201.33,2.22E-16,49
1202.331,2.22E-16,49
1203.332,2.22E-16,49
1204.333,2.22E-16,49
1205.334,2.22E-16,49
1206.335,2.22E-16,49
1207.336,2.22E-16,49
1208.337,2.22E-16,49
1209.338,2.22E-16,49
1210.339,2.22E-16,49
1211.34,2.22E-16,49
1212.341,2.22E-16,49
1213.342,2.22E-16,49
1214.343,2.22E-16,49
1215.344,2.22E-16,49
1216.345,2.22E-16,49
1217.346,2.22E-16,49
1218.347,2.22E-16,49
1219.348,2.22E-16,49
1220.349,2.22E-16,49
1221.35,2.22E-16,49
1222.351,2.22E-16,49
1223.352,2.22E-16,49
1224.353,2.22E-16,49
1225.354,2.22E-16,49
1226.355,2.22E-16,49
1227.356,2.22E-16,49
1228.357,2.22E-16,49
1229.358,2.22E-16,49
1230.359,2.22E-16,49
1231.36,2.22E-16,49
1232.361,2.22E-16,49
1233.362,2.22E-16,49
1234.363,2.22E-16,49
1235.364,2.22E-16,49
1236.365,2.22E-16,49
1237.366,2.22E-16,49
1238.367,2.22E-16,49
1239.368,2.22E-16,49
