Time (s),Heater Duty Cycle,Temperature (C)
867.996,0,42.5
868.997,0,42.5
869.998,0,42.5
870.999,0,42.5
872,0,42.5
873.001,0,42.5
874.002,0,42.5
875.003,0,42.5
876.004,0,42.5
877.005,0,42.5
878.006,0,42.5
879.007,0,42.5
880.008,0,42.5
881.009,0,42.5
882.01,0,42.5
883.011,0,42.5
884.012,0,42.5
885.013,0,42.5
886.014,0,42.5
887.015,0,42.5
888.016,0,42.5
889.017,0,42.5
890.018,0,42.5
891.019,0,42.5
892.02,0,42.5
893.021,0,42.5
894.022,0,42.5
895.023,0,42.5
896.024,0,42.5
897.025,0,42.5
898.026,0,42.5
899.027,0,42.5
900.028,0,42.5
901.029,0,42.5
902.03,0,42.5
903.031,0,42.5
904.032,0,42.5
905.033,0,42.5
906.034,0,42.5
907.035,0,42.5
908.036,0,42.5
909.037,0,42.5
910.038,0,42.5
911.039,0,42.5
912.04,0,42.5
913.041,0,42.5
914.042,0,42.5
915.043,0,42.5
916.044,0,42.5
917.045,0,42.5
918.046,0,42.5
919.047,0,42.5
920.048,0,42.5
921.049,0,42.5
922.05,0,42.5
923.051,0,42.5
924.052,0,42.5
925.053,0,42.5
926.054,0,42.5
927.055,0,42.5
928.056,0,42.5
929.057,0,42.5
930.058,0,42.5
931.059,0,42.5
932.06,0,42.5
933.061,0,42.5
934.062,0,42.5
935.063,0,42.5
936.064,0,42.5
937.065,0.2,42.5
938.066,0.2,42.5
939.067,0.2,42.5
940.068,0.2,42.5
941.069,0.2,42.5
942.07,0.2,42.5
943.071,0.2,42.5
944.072,0.2,42.5
945.073,0.2,42.5
946.074,0.2,42.5
947.075,0.2,42.5
948.076,0.2,42.5
949.077,0.2,42.5
950.078,0.2,42.5
951.079,0.2,42.5
952.08,0.2,42.5
953.081,0.2,42.5
954.082,0.2,42.5
955.083,0.2,42.5
956.084,0.2,42.5
957.085,0.2,42.5
958.086,0.2,42.75
959.087,0.2,42.5
960.088,0.2,42.5
961.089,0.2,42.5
962.09,0.2,42.5
963.091,0.2,42.5
964.092,0.2,42.5
965.093,0.2,42.5
966.094,0.2,42.5
967.095,0.2,42.75
968.096,0.2,42.75
969.097,0.2,42.5
970.098,0.2,42.5
971.099,0.2,42.5
972.1,0.2,42.75
973.101,0.2,42.5
974.102,0.2,42.5
975.103,0.2,42.75
976.104,0.2,42.75
977.105,0.2,42.5
978.106,0.2,42.5
979.107,0.2,42.5
980.108,0.2,42.75
981.109,0.2,42.75
982.11,0.2,42.5
983.111,0.2,42.5
984.112,0.2,42.75
985.113,0.2,42.75
986.114,0.2,42.75
987.115,0.2,42.75
988.116,0.2,42.5
989.117,0.2,42.75
990.118,0.2,42.5
991.119,0.2,42.75
992.12,0.2,42.75
993.121,0.2,42.5
994.122,0.2,42.75
995.123,0.2,42.5
996.124,0.2,42.75
997.125,0.2,42.75
998.126,0.2,42.75
999.127,0.2,42.75
1000.128,0.2,42.75
1001.129,0.2,42.75
1002.13,0.2,42.75
1003.131,0.2,42.75
1004.132,0.2,42.75
1005.133,0.2,42.75
1006.134,0.2,42.75
1007.135,0.2,42.75
1008.136,0.2,42.75
1009.137,0.2,42.75
1010.138,0.2,42.75
1011.139,0.2,42.75
1012.14,0.2,42.75
1013.141,0.2,42.75
1014.142,0.2,42.75
1015.143,0.2,42.75
1016.144,0.2,42.75
1017.145,0.2,42.75
1018.146,0.2,43
1019.147,0.2,42.75
1020.148,0.2,42.75
1021.149,0.2,42.75
1022.15,0.2,43
1023.151,0.2,42.75
1024.152,0.2,42.75
1025.153,0.2,42.75
1026.154,0.2,42.75
1027.155,0.2,42.75
